role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
sentinel,up,0,0,0,0,-4.407375476557824,-4.537928952758923,0.5,1784278280.9720478,1784278282.406678,0,True,1784278286.517675,1784278287.391204,1784278287.3914309,1784278287.596998,1784278287.4942145,0.0685389857,1784278287.597002,1784278291.684215,1784278289.6430645,1784278291.6844301,1784278291.885799,1784278291.7851145,0.135569778,0.5007923671382752,0.10210749484707107,0.07625549999999999,-0.14246425,-0.24198825000000002,0.00408825,-0.0066705,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2142932,2036057,0,0,0,0,4
sentinel,down,0,0,1,1,-4.407375476557824,-4.276822000356725,0.5,1784278294.024533,1784278295.4629388,1,True,1784278299.591862,1784278300.462958,1784278300.463191,1784278300.6645398,1784278300.5638654,0.0430672844,1784278300.664545,1784278304.784287,1784278302.725101,1784278304.784511,1784278304.9922931,1784278304.888402,0.075242065,0.49976119751548387,0.05914699128245396,0.08179550000000001,-0.14706475,-0.24998325,0.004091,-0.006677,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2221184,2093052,0,0,0,0,4
sentinel,down,80,1,0,2,6.036902619530071,6.16745609573117,0.5,1784278420.765096,1784278422.19278,2,True,1784278426.298794,1784278427.163692,1784278427.163908,1784278427.374055,1784278427.2689815,0.10607623,1784278427.374057,1784278431.4731112,1784278429.4217968,1784278431.473343,1784278431.683528,1784278431.5784354,0.115460541,0.49955640779943306,0.1107642226928327,0.10410525000000001,-0.1650705,-0.27938324999999997,0.0039017500000000003,-0.0064002500000000006,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2448231,2347707,0,0,0,0,4
sentinel,up,80,1,1,3,6.036902619530071,5.906349143328972,0.5,1784278433.839852,1784278435.273386,3,True,1784278439.4172769,1784278440.291884,1784278440.292116,1784278440.5024042,1784278440.3972602,0.0966919187,1784278440.502406,1784278444.634808,1784278442.568725,1784278444.635125,1784278444.843215,1784278444.73917,0.119482388,0.5001174546119468,0.10808983019572771,0.09551875000000001,-0.15857475,-0.26858225,0.00391625,-0.0064055,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2327297,2244981,0,0,0,0,4
formal,up,18,2,0,4,-2.057412904938048,-2.1879663811391468,0.5,1784278534.7610502,1784278536.215963,4,True,1784278540.339443,1784278541.216461,1784278541.216676,1784278541.4222562,1784278541.319466,0.320574767,1784278541.422261,1784278545.557424,1784278543.4936638,1784278545.557647,1784278545.760673,1784278545.6591601,0.328618462,0.5010025274151252,0.3246046785247564,0.33191649999999995,0.2674245,0.45332325,-0.00023525000000000003,-0.001089,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3807804,3830754,0,0,0,0,4
formal,down,18,2,1,5,-2.057412904938048,-1.926859428736949,0.5,1784278547.92242,1784278549.355766,5,True,1784278553.495104,1784278554.3686469,1784278554.36883,1784278554.579016,1784278554.473923,0.366155706,1784278554.5790179,1784278558.7093408,1784278556.6416326,1784278558.709537,1784278558.919662,1784278558.8145995,0.261587669,0.49939440683590025,0.31393501318839057,0.32227725,0.26451075,0.44882425,-0.0001395,-0.001151,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3786209,3758008,0,0,0,0,4
formal,down,62,3,0,6,3.6869400479102943,3.817493524111393,0.5,1784278622.953378,1784278624.390986,6,True,1784278628.534064,1784278629.4000928,1784278629.4002938,1784278629.610469,1784278629.5053816,1.04316671,1784278629.610471,1784278633.7375722,1784278631.667817,1784278633.737857,1784278633.940876,1784278633.8393664,0.988201463,0.49894856709052954,1.015741878769573,0.99826,-0.30561725,-0.51844225,0.001481,-0.00104675,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4331766,4395112,0,0,0,0,4
formal,up,62,3,1,7,3.6869400479102943,3.5563865717091954,0.5,1784278636.1107898,1784278637.550122,7,True,1784278641.6775491,1784278642.545134,1784278642.5453491,1784278642.752943,1784278642.649146,1.00965132,1784278642.752946,1784278646.867172,1784278644.8073165,1784278646.8674119,1784278647.0688279,1784278646.9681199,0.996245158,0.4996951988477672,1.0029523252136245,0.9875207500000001,-0.30694825000000003,-0.5209095,0.00156525,-0.0011462500000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4387490,4405359,0,0,0,0,4
formal,up,78,4,0,8,5.775795667127873,5.6452421909267745,0.5,1784278667.921551,1784278669.349876,8,True,1784278673.493716,1784278674.3717592,1784278674.37198,1784278674.579917,1784278674.4759483,0.174447638,1784278674.5799198,1784278678.7017941,1784278676.641288,1784278678.7020879,1784278678.904673,1784278678.8033805,0.151657169,0.5003751949112771,0.16304385263200558,0.1477095,-0.19389575,-0.3278225,0.00329825,-0.004949749999999999,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2805189,2767926,0,0,0,0,4
formal,down,78,4,1,9,5.775795667127873,5.906349143328972,0.5,1784278681.073355,1784278682.501769,9,True,1784278686.580598,1784278687.465162,1784278687.465387,1784278687.671392,1784278687.5683894,0.178469486,1784278687.671395,1784278691.79646,1784278689.7356071,1784278691.7966511,1784278692.006787,1784278691.901719,0.1543384,0.5001275907272408,0.16640086409718816,0.13986575,-0.18934625,-0.32052400000000003,0.0033022500000000005,-0.00502525,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2740826,2685271,0,0,0,0,4
formal,down,2,5,0,10,-4.1462685241556265,-4.015715047954528,0.5,1784278799.063769,1784278800.5076869,10,True,1784278804.645644,1784278805.518311,1784278805.5185459,1784278805.72767,1784278805.623108,0.0162549673,1784278805.727672,1784278809.844672,1784278807.7921152,1784278809.8449159,1784278810.051102,1784278809.948009,0.0175955831,0.5015160460750995,0.016927307635321805,0.020439,-0.07795125,-0.13248875,0.00304175,-0.00540175,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1219500,1142604,0,0,0,0,4
formal,up,2,5,1,11,-4.1462685241556265,-4.276822000356725,0.5,1784278812.2204878,1784278813.652046,11,True,1784278817.7777238,1784278818.652684,1784278818.65288,1784278818.863057,1784278818.7579684,0.02832051,1784278818.86306,1784278822.976307,1784278820.9252415,1784278822.976584,1784278823.186778,1784278823.081681,0.0403860527,0.5012528008738919,0.03436839707243854,0.02471675,-0.085072,-0.144742,0.00303725,-0.0053462499999999994,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1308591,1226106,0,0,0,0,4
formal,up,37,6,0,12,0.4231031428828276,0.29254966668172866,0.5,1784278871.251019,1784278872.67156,12,True,1784278876.8032498,1784278877.679455,1784278877.679691,1784278877.887358,1784278877.7835245,1.30726804,1784278877.887361,1784278881.988172,1784278879.9343185,1784278881.9883678,1784278882.198504,1784278882.0934358,1.29520249,0.4990344125306092,1.3012469153438915,1.2,0.21794750000000002,0.3709175,-0.00425975,0.006556,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3158251,3224223,0,0,0,0,4
